"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"146","Mcemp1",1.25719541959996e-63,0.483054182427795,0.75,0.464,4.05885541217849e-59
"147","C3",4.43186155732977e-63,0.413568744973803,0.698,0.398,1.43082650378392e-58
"148","Ccr1",7.05569176217153e-63,0.443727826460063,0.709,0.395,2.27793008541708e-58
"149","Cd63",1.52889727561895e-62,-1.38982846598102,0.518,0.639,4.93604485433579e-58
"150","Mcl1",2.60204931194589e-62,0.425074029102284,0.917,0.745,8.40071620361731e-58
"151","Clec4a1",4.79265638470004e-62,0.373547678912019,0.446,0.174,1.54730911380041e-57
"152","Igsf6",1.03322308045581e-61,0.417233457415398,0.809,0.519,3.33576071525157e-57
"153","Rnf149",1.48470842844801e-61,0.438573799365207,0.78,0.513,4.79338116124439e-57
"154","Gpx1",2.03952448733519e-61,0.420347817376058,0.971,0.875,6.58460480736167e-57
"155","Ighm",6.3770846092256e-61,-0.636969725617056,0.13,0.351,2.05884176608849e-56
"156","Pdia3",1.37931764388893e-60,-0.66982479337527,0.896,0.888,4.45312701329541e-56
"157","Clec4a2",1.67011209155602e-60,0.416361283632402,0.441,0.179,5.39195688758861e-56
"158","Xdh",6.16758441907803e-60,0.359456546995247,0.513,0.238,1.99120462969934e-55
"159","Fam20c",8.29930732173369e-60,0.381757563403214,0.503,0.228,2.67943136882172e-55
"160","F11r",8.91980723286584e-60,-0.733622940170205,0.664,0.727,2.87975976513074e-55
"161","Apobec3",1.41143076740288e-59,-0.681744170945936,0.616,0.711,4.55680423256021e-55
"162","Eno1",2.01866465627369e-59,0.420761866079368,0.963,0.882,6.51725884277961e-55
"163","Gda",2.5102052609325e-59,0.415666672944302,0.594,0.306,8.10419768492056e-55
"164","Bin1",2.54348244654701e-59,-0.835909954054289,0.482,0.598,8.21163307867702e-55
"165","Calm1",4.48827235540978e-59,0.254521511101656,0.976,0.927,1.44903872994405e-54
"166","Cd180",4.55220595520835e-59,-0.946353516887182,0.308,0.484,1.46967969263902e-54
"167","Dpep2",1.53565956418809e-58,0.355312550956333,0.419,0.163,4.95787690298126e-54
